,game,Genre,ESRB_Rating,Platform,Publisher,Critic_Score,User_Score,Total_Shipped,Year
173,red dead redemption 2,Action Adventure,M,XOne,Rockstar Games,9.8,8.310770234986945,1.8158729063132706,2018.0
174,new super mario bros u,Platform,E,WiiU,Nintendo,8.4,8.310770234986945,5.77,2012.0
175,destiny,Shooter,T,PS4,Activision,8.3,8.310770234986945,1.8158729063132706,2014.0
176,luigis mansion dark moon,Adventure,E,3DS,Nintendo,8.6,8.310770234986945,5.75,2013.0
177,tekken 2,Fighting,T,PS,Namco,9.1,8.310770234986945,1.8158729063132706,1996.0
178,super mario world super mario advance 2,Platform,E,GBA,Nintendo,9.4,8.310770234986945,5.69,2002.0
179,lego star wars the complete saga,Action,E10,Wii,LucasArts,8.0,8.310770234986945,1.8158729063132706,2007.0
180,cooking mama,Simulation,E,DS,Majesco,6.6,8.310770234986945,1.8158729063132706,2006.0
181,the legend of zelda ocarina of time 3d,Action Adventure,E10,3DS,Nintendo,9.5,8.310770234986945,5.62,2011.0
182,super mario advance,Platform,E,GBA,Nintendo,8.2,8.310770234986945,5.57,2001.0
183,assassins creed ii,Action,M,PS3,Ubisoft,9.0,8.310770234986945,1.8158729063132706,2009.0
184,super smash bros,Fighting,E,N64,Nintendo,8.4,8.310770234986945,5.55,1999.0
185,assassins creed,Action,M,X360,Ubisoft,8.2,8.0,1.8158729063132706,2007.0
186,batman arkham city,Action,T,PS3,Warner Bros. Interactive,9.6,8.310770234986945,2.47,2011.0
187,forza motorsport 3,Racing,E,X360,Microsoft Game Studios,9.2,9.8,1.8158729063132706,2009.0
188,dragon quest ix sentinels of the starry skies,Role Playing,E10,DS,Nintendo,8.6,8.310770234986945,5.5,2010.0
189,final fantasy ix,Role Playing,T,PS,Square,9.2,8.310770234986945,5.5,2000.0
190,final fantasy x 2,Role Playing,T,PS2,Square Enix,8.3,8.310770234986945,5.5,2003.0
191,tomb raider 2013,Action,M,PC,Square Enix,8.8,8.310770234986945,5.5,2013.0
192,the witcher 3 wild hunt,Role Playing,M,PC,Warner Bros. Interactive Entertainment,7.192271689340214,8.310770234986945,5.48,2015.0
193,pokemon stadium,Strategy,E,N64,Nintendo,7.5,8.310770234986945,5.46,2000.0
194,minecraft,Misc,E10,XOne,Microsoft Studios,8.16,8.310770234986945,21.505000000000003,2014.0
195,call of duty world at war,Shooter,M,PS3,Activision,8.4,8.35,1.8158729063132706,2008.0
196,super mario advance 4 super mario bros 3,Platform,E,GBA,Nintendo,9.2,8.310770234986945,5.43,2003.0
197,crash bandicoot the wrath of cortex,Platform,E,PS2,Universal Interactive,6.9,8.310770234986945,1.8158729063132706,2001.0
198,the witcher 3 wild hunt,Role Playing,M,PS4,Warner Bros. Interactive Entertainment,7.192271689340214,8.310770234986945,5.48,2015.0
199,final fantasy xiii,Role Playing,T,PS3,Square Enix,8.0,9.2,0.71,2010.0
200,gran turismo 5 prologue,Racing,E,PS3,Sony Computer Entertainment,8.3,8.310770234986945,5.35,2008.0
201,super smash bros for wii u,Fighting,E10,WiiU,Nintendo,9.2,8.310770234986945,5.35,2014.0
202,assassins creed iii,Action Adventure,M,X360,Ubisoft,8.366666666666665,8.310770234986945,1.8158729063132706,2012.0
203,pokemon pinball,Misc,E,GBC,Nintendo,8.7,8.310770234986945,5.31,1999.0
204,assassins creed ii,Action,M,X360,Ubisoft,9.1,8.310770234986945,1.8158729063132706,2009.0
205,super mario party,Party,E,NS,Nintendo,7.3,8.310770234986945,5.3,2018.0
206,donkey kong 64,Platform,E,N64,Nintendo,9.3,8.310770234986945,5.27,1999.0
207,just dance 2,Misc,E10,Wii,Ubisoft,7.3,8.310770234986945,5.25,2010.0
208,tomb raider ii,Adventure,T,PS,Eidos Interactive,7.6,8.310770234986945,1.8158729063132706,1997.0
209,madden nfl 2004,Sports,E,PS2,EA Sports,9.5,8.310770234986945,1.8158729063132706,2003.0
210,call of duty advanced warfare,Shooter,M,XOne,Activision,8.3,8.310770234986945,1.8158729063132706,2014.0
211,fallout new vegas,Role Playing,M,PC,Bethesda Softworks,8.3,8.310770234986945,5.22,2010.0
212,gran turismo 6,Racing,E,PS3,Sony Computer Entertainment America,7.192271689340214,8.310770234986945,5.22,2013.0
213,kingdom hearts ii,Role Playing,E10,PS2,Square Enix,8.3,8.310770234986945,5.2,2006.0
214,god of war iii,Action,M,PS3,Sony Computer Entertainment,9.2,9.4,5.2,2010.0
215,nintendo land,Party,E10,WiiU,Nintendo,7.8,8.310770234986945,5.19,2012.0
216,super mario land 3 wario land,Platform,E,GB,Nintendo,7.9,8.310770234986945,5.19,1994.0
217,donkey kong country 2 diddys kong quest,Platform,E,SNES,Nintendo,9.3,8.310770234986945,5.15,1995.0
218,medal of honor rising sun,Shooter,T,PS2,Electronic Arts,5.9,8.310770234986945,1.8158729063132706,2003.0
219,battlefield 1,Shooter,M,XOne,Electronic Arts,7.192271689340214,8.310770234986945,1.8158729063132706,2016.0
220,kirbys dream land,Platform,E,GB,Nintendo,7.192271689340214,8.310770234986945,5.13,1992.0
221,microsoft flight simulator,Simulation,E,PC,Microsoft,7.0,8.310770234986945,1.8158729063132706,1996.0
222,guitar hero ii,Misc,T,PS2,RedOctane,9.2,8.310770234986945,1.8158729063132706,2006.0
223,fifa 13,Sports,E,X360,EA Sports,7.0,8.310770234986945,1.8158729063132706,2012.0
224,resident evil 5,Action,M,PS3,Capcom,8.6,8.8,1.01,2009.0
225,fable iii,Role Playing,M,X360,Microsoft Game Studios,7.8,8.310770234986945,1.8158729063132706,2010.0
226,mario amp sonic at the olympic games,Sports,E,DS,Sega,7.0,8.310770234986945,2.14,2008.0
227,grand theft auto vice city stories,Action,M,PSP,Rockstar Games,8.4,8.310770234986945,1.8158729063132706,2006.0
228,fifa soccer 11,Sports,E,PS3,EA Sports,8.7,8.310770234986945,1.8158729063132706,2010.0
229,super mario bros deluxe,Platform,E,GB,Nintendo,9.7,8.310770234986945,5.07,1999.0
230,final fantasy xv,Role Playing,T,PS4,Square Enix,8.1,8.310770234986945,1.8158729063132706,2016.0
231,fallout 4,Role Playing,M,XOne,Bethesda Softworks,8.4,8.310770234986945,1.8158729063132706,2015.0
232,tony hawks pro skater,Sports,T,PS,Activision,9.6,8.310770234986945,1.8158729063132706,1999.0
233,warzone 2100,Strategy,T,PS,Eidos Interactive,7.192271689340214,8.310770234986945,1.8158729063132706,1999.0
234,spyro the dragon,Platform,E,PS,Sony Computer Entertainment,8.7,8.310770234986945,1.8158729063132706,1998.0
235,cities skylines,Simulation,E,PC,Paradox Interactive,7.192271689340214,8.310770234986945,5.0,2015.0
236,gears of war,Shooter,M,X360,Microsoft Game Studios,9.4,9.4,5.0,2006.0
237,gears of war 2,Shooter,M,X360,Microsoft Game Studios,9.4,9.5,5.0,2008.0
238,guild wars 2,Role Playing,T,PC,NCSoft,7.192271689340214,8.310770234986945,5.0,2012.0
239,halo 5 guardians,Shooter,T,XOne,Microsoft Studios,8.6,8.310770234986945,5.0,2015.0
240,halo combat evolved,Shooter,M,XB,Microsoft,9.5,8.310770234986945,5.0,2001.0
241,guitar hero iii legends of rock,Misc,T,PS2,RedOctane,8.2,8.0,1.8158729063132706,2007.0
242,uncharted drakes fortune,Action,T,PS3,Sony Computer Entertainment,8.7,8.6,1.8158729063132706,2007.0
243,resident evil 2,Action,M,PS,Capcom,9.3,8.310770234986945,4.96,1998.0
244,fallout 3,Role Playing,M,X360,Bethesda Softworks,9.0,8.6,1.8158729063132706,2008.0
245,splatoon,Shooter,E10,WiiU,Nintendo,8.4,8.310770234986945,4.94,2015.0
246,madden nfl 06,Sports,E,PS2,EA Sports,9.1,8.310770234986945,1.8158729063132706,2005.0
247,stardew valley,Simulation,E10,PC,Chucklefish,9.2,8.310770234986945,4.91,2016.0
248,dragon quest viii journey of the cursed king,Role Playing,T,PS2,Square Enix,8.6,8.310770234986945,4.9,2005.0
249,diddy kong racing,Racing,E,N64,Nintendo,8.3,8.310770234986945,4.88,1997.0
250,pokmon mystery dungeon explorers of time,Role Playing,E,DS,Nintendo,6.4,8.310770234986945,4.88,2008.0
251,call of duty black ops iiii,Shooter,M,XOne,Activision,7.192271689340214,8.310770234986945,1.8158729063132706,2018.0
252,crash bandicoot n sane trilogy,Platform,E10,PS4,Activision,6.0,8.310770234986945,1.8158729063132706,2017.0
253,assassins creed,Action,M,PS3,Ubisoft,8.2,8.5,1.8158729063132706,2007.0
254,call of duty infinite warfare,Shooter,M,XOne,Activision,7.192271689340214,8.310770234986945,1.8158729063132706,2016.0
255,crash team racing,Racing,E,PS,Sony Computer Entertainment,9.2,8.310770234986945,1.8158729063132706,1999.0
256,lego star wars the complete saga,Action,E,DS,LucasArts,7.8,8.310770234986945,1.8158729063132706,2007.0
257,the legend of zelda phantom hourglass,Adventure,E,DS,Nintendo,9.1,8.310770234986945,4.76,2007.0
